x	y	objectid	rowid_	holiday	violation_code	violation_description	location	rp_plate_state	body_style	address_id	streetsegid	xcoord	ycoord	filename	ticket_issue_datetime
-76.9798778192	38.8866529336	11438055	2247891	False	P003	RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT	1800BLOCK BAY ST SE SOUTH SIDE	ME		801584	1343.0	401746	135423	Parking_Violations_in_October_2013.csv	2013-10-25T09:33:00.000Z
-77.0466670083	38.8978427518	5231679	6992630	False	P039	PARK AT EXPIRED METER	0700 BLOCK 21ST ST NW EAST SIDE	VA	4D	807957	6815.0	395952	136666	Parking_Violations_in_March_2011.csv	2011-03-11T19:43:00.000Z
-77.0209995791	38.9542782848	639866	11667879	False	P003	RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT	700 BLOCK INGRAHAM ST NW SOUTH SIDE	MD	4D	807252	6218.0	398180	142930	Parking_Violations_in_December_2009.csv	2009-12-03T10:38:00.000Z
-76.999506584	38.898131332	3732465	4260505	False	P012	DISOBEYING OFFICIAL SIGN	700 BLOCK 5TH ST NE WEST SIDE	MD	4D	808035	6883.0	400043	136697	Parking_Violations_in_June_2012.csv	2012-06-20T13:17:00.000Z
-77.0199017492	38.9064533591	8392013	5992249	False	P003	RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT	1200 BLOCK 6TH ST NW WEST SIDE	VA	UT	805840	4998.0	398274	137621	Parking_Violations_in_October_2011.csv	2011-10-13T18:42:00.000Z
-77.0199098055	38.8940128124	11647311	1826843	False	P281	FAIL TO DISPLAY A MULTISPACE METER RECEIPT	400 BLOCK 6TH ST NW WEST SIDE	PA	4D	808082	6924.0	398273	136240	Parking_Violations_in_June_2014.csv	2014-06-25T19:49:00.000Z
-76.9445875048	38.8983794345	3628029	4398714	False	P003	RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT	4000 BLOCK GRANT ST NE SOUTH SIDE	DC	4D	801547	1152.0	404807	136726	Parking_Violations_in_June_2012.csv	2012-06-11T12:15:00.000Z
-77.0347628225	38.9298715432	590914	7634033	False	P269	NO STANDING ANYTIME	3200 BLOCK HIATT PL NW EAST SIDE	DC	4D	814475	12476.0	396986	140221	Parking_Violations_in_September_2010.csv	2010-09-25T15:25:00.000Z
-76.9971001112	38.8278025809	12906226	11611585	False	P076		4200 BLOCK 7TH ST SE EAST SIDE	MD	UT	802136	1784.0	400252	128890	Parking_Violations_in_December_2009.csv	2009-12-08T02:36:00.000Z
-77.0090636184	38.9013649828	9152602	8590608	False	P039	PARK AT EXPIRED METER	0900 BLOCK NORTH CAPITOL ST NE EAST	MD	UT	809000	7707.0	399214	137056	Parking_Violations_in_February_2010.csv	2010-02-03T12:08:00.000Z
-77.0275540239	38.898326267	10329997	10119183	False	P014	EMERGENCY NO PARKING	1200 BLOCK G ST NW NORTH SIDE	MD	TK	814241	12274.0	397610	136719	Parking_Violations_in_November_2009.csv	2009-11-24T12:15:00.000Z
-77.035537729	38.9111339894	11530850	444140	False	P039	PARK AT EXPIRED METER	1600 BLOCK Q ST NW NORTH SIDE	MD	VA	815147	13062.0	396918	138141	Parking_Violations_in_February_2015.csv	2015-02-26T14:03:00.000Z
-77.0319593093	38.9019374975	6588088	4987172	False	P259	NO STOPPING OR STANDING IN PM RUSH HOUR ZONE	1000 BLOCK 14TH ST NW WEST SIDE	MD	4D	815290	13191.0	397228	137120	Parking_Violations_in_March_2012.csv	2012-03-27T16:15:00.000Z
-77.0239724664	38.9091190657	4652653	140892	False	P012	DISOBEYING OFFICIAL SIGN	1500 BLOCK 9TH ST NW EAST SIDE	VA	4D	811215	9610.0	397921	137917	Parking_Violations_in_June_2015.csv	2015-06-03T21:35:00.000Z
-77.0309312129	38.9237739898	1967468	8039240	False	P003	RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT	1300 BLOCK EUCLID ST NW NORTH SIDE	MD	4D	803667	3285.0	397318	139544	Parking_Violations_in_June_2010.csv	2010-06-17T12:17:00.000Z
-77.0336419233	38.9007749467	12348802	10660924	False	P039	PARK AT EXPIRED METER	0900 BLOCK 15TH ST NW EAST SIDE	FL	4D	815130	13047.0	397082	136991	Parking_Violations_in_May_2009.csv	2009-05-18T13:30:00.000Z
-77.0239745134	38.9152087037	11109675	839015	False	P012	DISOBEYING OFFICIAL SIGN	1900 BLOCK 9TH ST NW WEST SIDE	MD	UT	805374	4608.0	397921	138593	Parking_Violations_in_November_2014.csv	2014-11-06T19:49:00.000Z
